SL No,Root Author,Root Author Aff,Root phd year,Scholar Link Link,Advisor,Adv aff,Avd phd year
87,Dimitri Zvonkine,Université Paris-Sud XI - Orsay ,2003,https://scholar.google.com/citations?hl=en&user=Zc0oXlIAAAAJ,Jean-Michel Bismut,Université Pierre-et-Marie-Curie - Paris VI,1973
88,Radhika Niranjan Mysore,"University of California, San Diego",2013,https://scholar.google.com/citations?hl=en&user=jn6AJ00AAAAJ,M. Amin (Mohammad) Vahdat,"University of California, Berkeley",1998
89,Magnus O. Myreen,University of Cambridge ,2009,https://scholar.google.com/citations?hl=en&user=XfqNgKwAAAAJ,Michael J. C. Gordon,The University of Edinburgh ,1973
90,Dimitrios Myrisiotis,Imperial College London, 2021,https://scholar.google.com/citations?hl=en&user=BvR0TM8AAAAJ,Mahdi Cheraghchi,École Polytechnique Fédérale de Lausanne,2010
91,Margaryta Myronyuk,Institute for Low Temperature Physics and Engineering,2005,https://scholar.google.com/citations?hl=en&user=Abv-JZ0AAAAJ,Gennadiy Feldman,Institute for Low Temperature Physics and Engineering,1973
92,Sergii Myroshnychenko,Kent State University ,2017,https://scholar.google.com/citations?hl=en&user=S89MRxUAAAAJ,Dmitry Ryabogin, Hebrew University of Jerusalem ,2000
93,Mikko Myrskyla,University of Pennsylvania,2009,https://scholar.google.com/citations?hl=en&user=YrpcxfwAAAAJ,Samuel Hulse Preston,Princeton University,1969
94,Frédéric Mynard,Université de Bourgogne,1999,https://scholar.google.com/citations?hl=en&user=hCnLhwsAAAAJ,Szymon Dolecki,Polska Akademia Nauk,1973
95,Mirko Myllykoski,Jyväskylän yliopisto,2015,https://scholar.google.com/citations?hl=en&user=mCWqMbsAAAAJ,Tuomo Rossi,Jyväskylän yliopisto,1996
96,,,,,Jari Toivanen,Jyväskylän yliopisto,1997
97,Thulasi Mylvaganam,Imperial College London,2014 ,https://scholar.google.com/citations?hl=en&user=fIEuk78AAAAJ,Alessandro Astolfi,ETH Zürich,1995
98,Nitin Jonathan Myers,University of Texas at Austin,2020,https://scholar.google.com/citations?hl=en&user=kzVG8YIAAAAJ,"Robert Wendell Heath, Jr.",Doctor of Philosophy Stanford University,2001
99,Violet Mwaffo,New York University,2017,https://scholar.google.com/citations?hl=en&user=HG3LncIAAAAJ,Maurizio Porfiri,Virginia Polytechnic Institute and State University, 2006
100,Peter Mwita,Universität Kaiserslautern,2003,https://scholar.google.com/citations?hl=en&user=xv9qgbcAAAAJ,Jürgen Franke,Johann Wolfgang Goethe-Universität Frankfurt am Main,1980
101,Irene Muzi,Università di Roma La Sapienza,2017,https://scholar.google.com/citations?hl=en&user=sJAR-aoAAAAJ,Paul Joseph Wollan,Georgia Institute of Technology ,2005
102,Almir Mutapcic,Stanford University, 2008,https://scholar.google.com/citations?hl=en&user=bUbySuQAAAAJ,Stephen Poythress Boyd,"University of California, Berkeley",1985 
