,Root Author,Co Author,Scholar Link
138,Vojtěch Žádník,Andreas Cap,https://scholar.google.com/citations?user=KG2ES7sAAAAJ&hl=en&oe=ASCII
139,,jan slovak,https://scholar.google.com/citations?user=nHpa_1gAAAAJ&hl=en&oe=ASCII
140,,Matthias Hammerl,https://scholar.google.com/citations?user=X4Ic9dsAAAAJ&hl=en&oe=ASCII
141,,Katja Sagerschnig,https://scholar.google.com/citations?user=OPHwHIwAAAAJ&hl=en&oe=ASCII
142,,Boris Doubrov,https://scholar.google.com/citations?user=viTuFUwAAAAJ&hl=en&oe=ASCII
143,,Jan Kotůlek,https://scholar.google.com/citations?user=bFO1c1sAAAAJ&hl=en&oe=ASCII
144,,Helena Durnova,https://scholar.google.com/citations?user=NGKQGnIAAAAJ&hl=en&oe=ASCII
145,Stefano Zanero,Federico Maggi,https://scholar.google.com/citations?user=ys0NdQQAAAAJ&hl=en&oe=ASCII
146,,Michele Carminati,https://scholar.google.com/citations?user=qDUzIZgAAAAJ&hl=en&oe=ASCII
147,,Mario Polino,https://scholar.google.com/citations?user=VP9CN6wAAAAJ&hl=en&oe=ASCII
148,,Andrea Continella,https://scholar.google.com/citations?user=U3IPwFYAAAAJ&hl=en&oe=ASCII
149,,Marcello Pogliani,https://scholar.google.com/citations?user=vmCKE8QAAAAJ&hl=en&oe=ASCII
150,,Davide Quarta,https://scholar.google.com/citations?user=EoKA5NQAAAAJ&hl=en&oe=ASCII
151,,Christopher Kruegel,https://scholar.google.com/citations?user=f0NoTC0AAAAJ&hl=en&oe=ASCII
152,,Sotiris Ioannidis,https://scholar.google.com/citations?user=O4Pb6Z0AAAAJ&hl=en&oe=ASCII
153,,Lorenzo Cavallaro,https://scholar.google.com/citations?user=oWT7fIYAAAAJ&hl=en&oe=ASCII
154,,Giovanni Vigna,https://scholar.google.com/citations?user=2eM6GocAAAAJ&hl=en&oe=ASCII
155,,Giuseppe Serazzi,https://scholar.google.com/citations?user=LucD734AAAAJ&hl=en&oe=ASCII
156,,Sergio Matteo Savaresi,https://scholar.google.com/citations?user=461TQ2cAAAAJ&hl=en&oe=ASCII
157,,Alessandro Barenghi,https://scholar.google.com/citations?user=UdTX7n0AAAAJ&hl=en&oe=ASCII
158,,Giulio De Pasquale,https://scholar.google.com/citations?user=Aoran24AAAAJ&hl=en&oe=ASCII
159,,Guido Salvaneschi,https://scholar.google.com/citations?user=Hm0V7MUAAAAJ&hl=en&oe=ASCII
160,,Martina Lindorfer,https://scholar.google.com/citations?user=9JCtsecAAAAJ&hl=en&oe=ASCII
161,,Engin Kirda,https://scholar.google.com/citations?user=AHh8JssAAAAJ&hl=en&oe=ASCII
162,,Stefano Longari,https://scholar.google.com/citations?user=B1BwyfcAAAAJ&hl=en&oe=ASCII
163,,Paolo Milani Comparetti,https://scholar.google.com/citations?user=DdxkeuYAAAAJ&hl=en&oe=ASCII
164,,Christian Platzer,https://scholar.google.com/citations?user=NihQricAAAAJ&hl=en&oe=ASCII
165,Renato Zanetti,Sehyun Yun,https://scholar.google.com/citations?user=u7f8HQYAAAAJ&hl=en&oe=ASCII
166,,Simone  Servadio,https://scholar.google.com/citations?user=2_HLW_MAAAAJ&hl=en&oe=ASCII
167,Catherine Zanbaka,Larry Hodges,https://scholar.google.com/citations?user=plbm7ncAAAAJ&hl=en&oe=ASCII
168,,Paula Goolkasian,https://scholar.google.com/citations?user=TIuNk1QAAAAJ&hl=en&oe=ASCII
169,,Sabarish V. Babu,https://scholar.google.com/citations?user=72RvQTgAAAAJ&hl=en&oe=ASCII
170,,Benjamin Lok,https://scholar.google.com/citations?user=QclQnxIAAAAJ&hl=en&oe=ASCII
171,,J. Edward Swan II,https://scholar.google.com/citations?user=nEkOy0sAAAAJ&hl=en&oe=ASCII
172,,Nakia Gordon,https://scholar.google.com/citations?user=d_KAdJkAAAAJ&hl=en&oe=ASCII
