,Name,University,Year of Graduation,Advisor
22,Jordi  Herrera Joancomartí ,Universitat Politècnica de Catalunya,2000,"[['Josep  Domingo-Ferrer ', 'Universitat Autònoma de Barcelona', '1991']]"
23,Soojin  Jo ,"University of California, San Diego",2012,"[['James Douglas Hamilton ', 'University of California, Berkeley', '1983']]"
24,Benjamin  Joachimi ,rer. nat. Rheinische Friedrich-Wilhelms-Universität Bonn,2010,"[['Peter  Schneider ', 'rer. nat. Rheinische Friedrich-Wilhelms-Universität Bonn', '1984']]"
25,Jose  Joao ,University of Texas at Austin,2014,"[['Yale Nance Patt ', 'Stanford University', '1966']]"
26,Joshua  Job ,University of Southern California,2018,"[['Daniel A Lidar ', 'Hebrew University of Jerusalem', '1997']]"
27,John M Jobe ,Oklahoma State University,1966,"[['Olan Harvey Hamilton ', 'University of Texas at Austin', '1937']]"
28,John David Jobson ,Iowa State University,1972,"[['Wayne Arthur Fuller ', 'Iowa State University', '1959']]"
29,Alejandro  Jofré ,[],,
30,Alejandro  Jofré ,Universidad de Chile,1989,"[['Jean-Paul  Penot ', 'Université de Paris', '1970']]"
31,Matjaž  Jogan ,University of Ljubljana,2008,"[['Ales  Leonardis ', 'University of Ljubljana', '1993']]"
32,James Michael Johannes ,University of Wisconsin-Madison,1978,"[['Edgar L Feige ', 'The University of Chicago', '1963']]"
33,Jan  Johannes ,Humboldt-Universität zu Berlin,2002,"[['Olaf  Bunke ', 'Humboldt-Universität zu Berlin', '1960']]"
34,Jeff  Johannes ,Indiana University,1998,"[['Charles  Livingston ', 'University of California, Berkeley', '1980']]"
35,Joseph  Johannes ,phil. Eberhard-Karls-Universität Tübingen,1888,[]
36,Kjetil Andre  Johannessen ,Norges Teknisk-Naturvitenskapelige Universitet,2014,[['Trond  Kvamsdal ']]
37,Jacob  Johannsen ,Aarhus University,2015,"[['Olivier  Danvy ', 'Université Pierre-et-Marie-Curie - Paris VI', '1986']]"
38,Jan  Johannsen ,Friedrich-Alexander-Universität Erlangen-Nürnberg,1996,"[['Volker  Strehl ', 'Friedrich-Alexander-Universität Erlangen-Nürnberg', '1974']]"
39,Ørjan  Johansen ,Scient. Norges Teknisk-Naturvitenskapelige Universitet,1998,"[['Christian F Skau ', 'University of Pennsylvania', '1973']]"
40,Marje  Johanson ,University of Tartu,2012,"[['Eve  Oja ', 'Sci. University of Tartu', '1975'], ['Rainis  Haller ', 'University of Tartu', '2002']]"
41,Björn  Johansson ,Lund University,2003,"[['Karl Kalle  Åström ', 'Lund University', '1996'], ['Gunnar  Sparr ', 'Lund University', '1972']]"
42,John W John ,University of Wisconsin-Madison,1985,"[['Samuel Watkins Bent ', 'Stanford University', '1982']]"
43,Shaju  John ,University of Maryland College Park,2007,"[['Christopher Peter Cadou ', 'University of California, Los Angeles', '1996']]"
44,Joseph  Johns ,The University of Chicago,2006,"[['Paul  Seidel ', 'University of Oxford', '1997']]"
45,John  Johnsen ,Columbia University,1970,"[['Patrick Ximenes Gallagher ', 'Princeton University', '1959']]"
46,Jon  Johnsen ,Københavns Universitet,1993,"[['Gerd A Grubb ', 'Stanford University', '1966']]"
47,Benjamin Edward Johnson ,"University of California, Berkeley",2008,"[['Leo Anthony Harrington ', 'Massachusetts Institute of Technology', '1973']]"
48,Benjamin  Johnson ,Cornell University,2014,"[['Hadas  Kress-Gazit ', 'University of Pennsylvania', '2008']]"
49,Benjamin  Johnson ,University of Massachusetts Amherst,2017,"[['Eric Nathan Sommers ', 'Massachusetts Institute of Technology', '1997']]"
50,James A Johnson ,University of Minnesota - Twin Cities,1963,"[['Oswald Harvey Brownlee ', 'Iowa State University', '1945']]"
51,James D Johnson ,State University of New York at Stony Brook,1972,"[['Barry Malcolm McCoy ', 'Harvard University', '1967']]"
52,James Ralph Johnson ,University of Minnesota - Twin Cities,1985,"[['Richard P McGehee ', 'University of Wisconsin-Madison', '1969']]"
53,James Stephen Johnson ,University of Colorado at Boulder,1968,"[['James Donald Monk ', 'University of California, Berkeley', '1961']]"
54,Janet L Johnson ,North Carolina State University,1992,"[['Lee Vernon Stiff ', 'North Carolina State University', '1978'], ['Sarah Burke Berenson ', 'Florida State University', '1985']]"
55,Jeffrey  Johnson ,University of Montana,2013,"[['Toma Thomas V Tonev ', 'Lomonosov Moscow State University', '1973']]"
56,Jeffrey Horace Johnson ,University of Essex,1975,[['Ron H Atkin ']]
57,Jennifer  Johnson ,Brandeis University,1989,"[['Michael Howard Harris ', 'Harvard University', '1977']]"
58,Jennifer Elisabeth Johnson ,"University of California, Berkeley",2003,"[['R Jay  Wallace ', 'Princeton University', '1988']]"
59,Jeremiah  Johnson ,University of New Hampshire,2010,"[['Edward Kuell Hinson ', 'Northwestern University', '1985']]"
60,Jesse E Johnson ,"University of California, Davis",2006,"[['Abigail A Thompson ', 'Rutgers University, New Brunswick', '1986']]"
61,J John Howard Johnson ,University of Waterloo,1983,"[['Frank William Tompa ', 'University of Toronto', '1974']]"
62,John A Johnson ,University of Cambridge,1964,"[['Ian  Proudman ', 'University of Cambridge', '1951'], ['Owen M Phillips ', 'University of Cambridge', '1955']]"
63,John  Johnson ,Howard University,2011,"[['Neil  Hindman ', 'Wesleyan University', '1969']]"
64,John David Johnson ,The University of North Carolina at Chapel Hill,2002,"[['Indra Mohan Chakravarti ', 'Indian Statistical Institute, Kolkata', '1958']]"
65,John Henry Johnson ,Massachusetts Institute of Technology,1999,"[['Joshua David Angrist ', 'Princeton University', '1989'], ['Daron Kamer Acemoglu ', 'London School of Economics and Political Science', '1992']]"
66,John David Johnson ,Texas A&M University,1987,"[['Robert Leon Basmann ', 'Iowa State University', '1955'], ['Raymond Charles Battalio ', 'Purdue University', '1970']]"
67,Jon Lee Johnson ,University of Kentucky,1976,"[['Paul Mechlin Eakin Jr ', 'Louisiana State University', '1968']]"
68,Joseph  Johnson ,University of Virginia,2012,"[['Nicholas John Kuhn ', 'The University of Chicago', '1980']]"
69,Joseph Francis Johnson ,Massachusetts Institute of Technology,1983,"[['David Alexander Vogan Jr ', 'Massachusetts Institute of Technology', '1976']]"
70,Justin  Johnson ,Stanford University,2018,"[['Fei-Fei  Li ', 'California Institute of Technology', '2005']]"
71,Julius Robert Johnson Jr ,Duke University,1957,"[['Leonard  Carlitz ', 'University of Pennsylvania', '1930']]"
72,John  Johnston ,"University of Wales, Bangor",1957,[]
73,Joshua  Johnston ,University of Akron,2011,"[['Gerald Wayne Young ', 'Northwestern University', '1985']]"
74,Biljana  Jolevska-Tuneska ,University of Novi Sad,2003,"[['Arpad  Takači ', 'University of Novi Sad', '1982'], ['Brian  Fisher ']]"
75,Johan  Jonasson ,Göteborg Universitet,1994,"[['Tommy  Norberg ', 'Göteborg Universitet', '1985']]"
76,Benjamin Arthur Jones ,The University of New Mexico,2015,"[['Janie M Chermak ', 'Colorado School of Mines', '1991'], ['Robert P Berrens ', 'Oregon State University', '1993']]"
77,Benjamin F Jones ,University of Notre Dame,2007,"[['Samuel Robert Evens ', 'Massachusetts Institute of Technology', '1988']]"
78,James  Jones ,New York University,1988,"[['James G Glimm ', 'Columbia University', '1959']]"
79,James Edward Jones ,Victoria University of Manchester,1971,[]
80,Jason C Jones ,The University of North Carolina at Chapel Hill,2008,"[['Stanley Warren Black ', 'Yale University', '1965']]"
81,Jeffrey P Jones ,Brown University,1977,"[['John  Wermer ', 'Harvard University', '1951']]"
82,Jessica  Jones ,Rensselaer Polytechnic Institute,2013,"[['Joyce Rogers McLaughlin ', 'University of California, Riverside', '1968']]"
83,Jessica R  Jones ,University of Bath,2018,"[['James Harold Davenport ', 'University of Cambridge', '1979'], ['Guy  McCusker ', 'Imperial College London', '1996']]"
84,Jim  Jones ,University of Colorado at Denver,1995,
